name;time_p;time_s;cpi_ratio;
/home/anism/Bureau/Test Nbody Version Scalaire /maqao_2021-12-05_22-41-03/binaries/nbody_Version_SSE_Packed;98.63;7.93;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.44;0.03;;
/usr/lib/x86_64-linux-gnu/libSDL2-2.0.so.0.10.0;0.37;0.03;;
/usr/lib/x86_64-linux-gnu/dri/swrast_dri.so;0.19;0.01;;
/usr/lib/x86_64-linux-gnu/libX11.so.6.3.0;0.19;0.01;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.06;0;;
/usr/lib/x86_64-linux-gnu/libexpat.so.1.6.11;0.06;0;;
/usr/lib/x86_64-linux-gnu/libxcb.so.1.1.0;0.06;0;;
