Range;Coverage;Count;
1;79.66;1;
2;0;0;
3 to 4;0;0;
5 to 8;0;0;
9 to 16;0;0;
17 to 32;0;0;
33 to 64;0;0;
> 64;6.08;1;
unknown;0;0;
