function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
814;swrast_dri.so;__driDriverGetExtensions_d3d12;;81.82;0.09;;;;;;"0,0,0,0,0,0,0,0,0,100";
278;libpthread-2.31.so;__lll_lock_wait;;4.55;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
191;libpthread-2.31.so;__pthread_cond_wait;;4.55;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
160;libpthread-2.31.so;__GI___pthread_mutex_unlock;;4.55;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
0;anon;Unknown function;;4.55;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
