function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
814;swrast_dri.so;__driDriverGetExtensions_d3d12;;76.47;0.06;;;;;;"0,0,0,0,0,0,0,0,0,100";
276;libpthread-2.31.so;__pthread_disable_asynccancel;;5.88;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
275;libpthread-2.31.so;__pthread_enable_asynccancel;;5.88;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
160;libpthread-2.31.so;__GI___pthread_mutex_unlock;;5.88;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
0;anon;Unknown function;;5.88;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
