Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;19.5;67.37;0;518;0;5.98;0;0;1.16;12.25;0;5.98;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;_ALL;_ALL;19.5;67.37;0;518;0;5.98;0;0;1.16;12.25;0;5.98;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;4355;_ALL;19.5;67.37;0;518;0;5.98;0;0;1.16;12.25;0;5.98;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;4355;4360;0;0;0;8;0;0;0;0;0;0.2;0;100;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;4355;4361;0;0;0;2;0;0;0;0;0;0.05;0;100;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;4355;4355;20.61;71.22;0;490;0;6.33;0;0;1.22;12.25;0;0.61;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;4355;4358;0;0;0;10;0;0;0;0;0;0.25;0;100;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;4355;4359;0;0;0;8;0;0;0;0;0;0.2;0;100;
