loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
11;nbody_Version_SSE_Scalar;compute_accelerations;17;nbody_Version_SSE_Scalar.c:64-242;Innermost;80.26;3.13;3.68;3.68;3.68;0;1;
5;nbody_Version_SSE_Scalar;main;1;nbody_Version_SSE_Scalar.c:220-226;Innermost;0.33;0.01;0.01;0.01;0.01;0;1;
4;nbody_Version_SSE_Scalar;main;1;nbody_Version_SSE_Scalar.c:219-226;InBetween;0.33;0.01;0.01;0.01;0.01;0;1;
13;nbody_Version_SSE_Scalar;compute_positions;19;nbody_Version_SSE_Scalar.c:64-257;Single;0.33;0.01;0.01;0.01;0.01;0;1;
