function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
814;swrast_dri.so;__driDriverGetExtensions_d3d12;;70.59;0.06;;;;;;"0,0,0,0,0,0,0,0,0,100";
153;libpthread-2.31.so;__GI___pthread_mutex_lock;;11.76;0.01;;;;;;"0,0,0,0,0,100,0,0,0,0";
565;libc-2.31.so;pthread_mutex_lock;;5.88;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
214;libpthread-2.31.so;__pthread_barrier_wait;;5.88;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
160;libpthread-2.31.so;__GI___pthread_mutex_unlock;;5.88;0;;;;;;"0,0,0,0,0,100,0,0,0,0";
