Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;99.96;0;2440;0;0.04;0;0;0;12.2;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;_ALL;_ALL;0;99.96;0;2440;0;0.04;0;0;0;12.2;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5894;_ALL;0;99.96;0;2440;0;0.04;0;0;0;12.2;0;0;
anism-VivoBook-ASUSLaptop-X515EA-X515EA;5894;5894;0;99.96;0;2440;0;0.04;0;0;0;12.2;0;0;
